ID;Perioden;BenzineEuro95_1;Diesel_2;Lpg_3
0;20060101;1.325;1.003;0.543
1;20060102;1.328;1.007;0.542
2;20060103;1.332;1.007;0.54
3;20060104;1.348;1.02;0.55
4;20060105;1.347;1.021;0.55
5;20060106;1.353;1.023;0.549
6;20060107;1.361;1.022;0.555
7;20060108;1.36;1.022;0.55
8;20060109;1.362;1.024;0.554
9;20060110;1.368;1.022;0.552
10;20060111;1.369;1.018;0.56
11;20060112;1.363;1.011;0.558
12;20060113;1.361;1.009;0.559
13;20060114;1.355;1.006;0.559
14;20060115;1.356;1.005;0.561
15;20060116;1.354;1.005;0.558
16;20060117;1.355;1.007;0.556
17;20060118;1.36;1.013;0.561
18;20060119;1.363;1.016;0.561
19;20060120;1.368;1.016;0.561
20;20060121;1.37;1.021;0.559
21;20060122;1.369;1.02;0.559
22;20060123;1.369;1.021;0.56
23;20060124;1.368;1.031;0.564
24;20060125;1.369;1.031;0.565
25;20060126;1.356;1.025;0.568
26;20060127;1.351;1.023;0.567
27;20060128;1.351;1.025;0.565
28;20060129;1.351;1.025;0.568
29;20060130;1.351;1.025;0.566
30;20060131;1.361;1.032;0.569
31;20060201;1.36;1.032;0.567
32;20060202;1.36;1.031;0.566
33;20060203;1.353;1.028;0.567
34;20060204;1.344;1.024;0.564
35;20060205;1.344;1.024;0.565
36;20060206;1.342;1.024;0.564
37;20060207;1.341;1.026;0.565
38;20060208;1.341;1.026;0.559
39;20060209;1.336;1.02;0.558
40;20060210;1.331;1.018;0.56
41;20060211;1.323;1.013;0.56
42;20060212;1.323;1.013;0.56
43;20060213;1.322;1.014;0.559
44;20060214;1.321;1.014;0.556
45;20060215;1.314;1.011;0.547
46;20060216;1.31;1.007;0.551
47;20060217;1.311;1.007;0.549
48;20060218;1.315;1.009;0.55
49;20060219;1.316;1.008;0.547
50;20060220;1.316;1.01;0.545
51;20060221;1.326;1.023;0.547
52;20060222;1.33;1.026;0.54
53;20060223;1.329;1.024;0.539
54;20060224;1.324;1.02;0.539
55;20060225;1.325;1.023;0.537
56;20060226;1.323;1.023;0.536
57;20060227;1.323;1.025;0.538
58;20060228;1.324;1.026;0.542
59;20060301;1.322;1.026;0.535
60;20060302;1.324;1.031;0.532
61;20060303;1.329;1.043;0.53
62;20060304;1.333;1.053;0.525
63;20060305;1.333;1.052;0.528
64;20060306;1.334;1.053;0.527
65;20060307;1.335;1.055;0.527
66;20060308;1.329;1.049;0.523
67;20060309;1.326;1.047;0.522
68;20060310;1.331;1.044;0.525
69;20060311;1.349;1.041;0.522
70;20060312;1.349;1.041;0.523
71;20060313;1.35;1.041;0.524
72;20060314;1.351;1.038;0.518
73;20060315;1.364;1.041;0.519
74;20060316;1.366;1.043;0.517
75;20060317;1.368;1.044;0.52
76;20060318;1.373;1.046;0.522
77;20060319;1.372;1.045;0.524
78;20060320;1.372;1.045;0.522
79;20060321;1.372;1.043;0.518
80;20060322;1.365;1.038;0.518
81;20060323;1.362;1.036;0.519
82;20060324;1.361;1.038;0.52
83;20060325;1.374;1.047;0.518
84;20060326;1.373;1.047;0.518
85;20060327;1.373;1.049;0.52
86;20060328;1.376;1.052;0.522
87;20060329;1.38;1.052;0.519
88;20060330;1.394;1.056;0.517
89;20060331;1.403;1.06;0.519
90;20060401;1.407;1.062;0.517
91;20060402;1.405;1.062;0.517
